Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
"David Guetta, Bebe Rexha",I'm Good (Blue),spotify:track:4uUG5RXrOk84mYEfFvj3cK,116,0.00383,0.561,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,0.304
Damso,Feu de bois,spotify:track:4L0Iwsk1s8cbdBcEgdm8K5,114,0.256,0.789,0.633,1.31e-06,2,0.092,-6.269,1,0.0734,138.097,0.262
"Booba, JSX",Mona Lisa,spotify:track:5LYRIyhmlrDAQsYdHEvP0f,110,0.683,0.784,0.529,0,11,0.118,-7.681,0,0.0742,134.041,0.246
"Rema, Selena Gomez",Calm Down (with Selena Gomez),spotify:track:1s7oOCT8vauUh01PbJD6ps,110,0.429,0.799,0.802,0.00128,11,0.171,-5.196,1,0.0371,107.008,0.811
Gazo,CELINE 3X,spotify:track:2wXS2IXCyBX0WL76LLYT31,110,0.162,0.677,0.841,0,9,0.141,-7.179,1,0.378,138.906,0.563
Ninho,Goutte d'eau,spotify:track:0rQbvQpjQ6QeeCAnVRzokf,108,0.647,0.683,0.693,0,5,0.121,-6.441,0,0.127,137.826,0.322
Central Cee,Doja,spotify:track:3LtpKP5abr2qqjunvjlX5i,108,0.38,0.911,0.573,0,6,0.403,-7.43,1,0.288,140.04,0.972
CKay,love nwantiti (ah ah ah),spotify:track:2Xr1dTzJee307rmrkt8c0g,108,0.365,0.727,0.739,0.00137,8,0.161,-3.805,1,0.0411,93.005,0.533
Tones And I,Dance Monkey,spotify:track:2N8m6CYs74qQO4mjVcXO30,108,0.69,0.824,0.587,0.000105,6,0.149,-6.401,0,0.0937,98.029,0.514
"Jul, Morad",La street,spotify:track:29n9av2AJlYDHtqfuv0X04,108,0.132,0.763,0.919,3.74e-05,4,0.0917,-4.041,0,0.112,134.918,0.488
Nekfeu,Galatée,spotify:track:476Nn5jU0ua9JnrAZcn6Fl,106,0.38,0.726,0.757,0,5,0.14,-6.997,0,0.41,93.565,0.706
Doja Cat,Woman,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,106,0.0888,0.824,0.764,0.00294,5,0.117,-4.175,0,0.0854,107.998,0.881
"Niska, Ninho",N.I,spotify:track:52UT99qy9z0YfQ0CQLCmAu,106,0.148,0.763,0.762,0,5,0.196,-5.112,0,0.0773,135.014,0.789
"Tinlicker, Helsloot",Because You Move Me,spotify:track:1F80MEkZA9yTlpMQp9dhht,106,0.691,0.789,0.435,0.0395,2,0.107,-9.506,0,0.149,122.997,0.166
